"speciesgroup","prodmeth","form","stage","step","units","value"
"Shrimp","farmed","fresh","production","feed","energy",29.7079522883744
"Shrimp","farmed","fresh","production","feed","water",81.7465822895474
"Shrimp","farmed","fresh","production","feed","ghg",7.01191285002767
"Shrimp","farmed","fresh","production","direct","energy",17.3391935522307
"Shrimp","farmed","fresh","production","direct","water",0
"Shrimp","farmed","fresh","production","indirect","energy",11.3977331725188
"Shrimp","farmed","fresh","production","indirect","water",23.9133352642706
"Shrimp","farmed","fresh","production","direct","ghg",4.25094222334577
"Shrimp","farmed","fresh","production","indirect","ghg",1.21810107244302
"Shrimp","farmed","fresh","processing","direct","energy",8.65068806409224
"Shrimp","farmed","fresh","processing","direct","water",25.7937400927574
"Shrimp","farmed","fresh","processing","indirect","energy",3.44644277094507
"Shrimp","farmed","fresh","processing","indirect","water",0.0153244476502643
"Shrimp","farmed","fresh","processing","direct","ghg",1.60425626148313
"Shrimp","farmed","fresh","processing","indirect","ghg",0.368328997692613
"Shrimp","farmed","fresh","transport","intnl","energy",11.8317434482142
"Shrimp","farmed","fresh","transport","intnl","water",1.24233306206249
"Shrimp","farmed","fresh","transport","intnl","ghg",0.85188552827142
"Shrimp","farmed","fresh","wholesale","cooling","energy",0.491209800918836
"Shrimp","farmed","fresh","wholesale","direct","water",2.2211
"Shrimp","farmed","fresh","wholesale","cooling","ghg",0.0550346003062787
"Shrimp","farmed","fresh","transport","domestic","energy",1.27
"Shrimp","farmed","fresh","transport","domestic","water",0.131193764388673
"Shrimp","farmed","fresh","transport","domestic","ghg",0.103886
"Shrimp","farmed","fresh","retail.foodservice","cooling","energy",3.59208377369885
"Shrimp","farmed","fresh","retail.foodservice","indirect.cool","water",0.00276390890365162
"Shrimp","farmed","fresh","retail.foodservice","cooling","ghg",0.402453074801027
"Shrimp","farmed","fresh","retail.foodservice","cooking","energy",1.61049271428571
"Shrimp","farmed","fresh","retail.foodservice","indirect.cook","water",0.0012391846718254
"Shrimp","farmed","fresh","retail.foodservice","cooking","ghg",0.0990672309777778
"Shrimp","farmed","fresh","home","cooling","energy",1.3068
"Shrimp","farmed","fresh","home","indirect","water",0.00100551
"Shrimp","farmed","fresh","home","cooling","ghg",0.14641242
"Shrimp","farmed","fresh","home","cooking","energy",1.50210022666667
"Shrimp","farmed","fresh","home","direct","water",0
"Shrimp","farmed","fresh","home","cooking","ghg",0.13909372993922
"Shrimp","farmed","frozen","production","feed","energy",29.7079522883744
"Shrimp","farmed","frozen","production","feed","water",81.7465822895474
"Shrimp","farmed","frozen","production","feed","ghg",7.01191285002767
"Shrimp","farmed","frozen","production","direct","energy",17.3391935522307
"Shrimp","farmed","frozen","production","direct","water",0
"Shrimp","farmed","frozen","production","indirect","energy",11.3977331725188
"Shrimp","farmed","frozen","production","indirect","water",23.9133352642706
"Shrimp","farmed","frozen","production","direct","ghg",4.25094222334577
"Shrimp","farmed","frozen","production","indirect","ghg",1.21810107244302
"Shrimp","farmed","frozen","processing","direct","energy",8.65068806409224
"Shrimp","farmed","frozen","processing","direct","water",25.7937400927574
"Shrimp","farmed","frozen","processing","indirect","energy",3.44644277094507
"Shrimp","farmed","frozen","processing","indirect","water",0.0153244476502643
"Shrimp","farmed","frozen","processing","direct","ghg",1.60425626148313
"Shrimp","farmed","frozen","processing","indirect","ghg",0.368328997692613
"Shrimp","farmed","frozen","transport","intnl","energy",11.1773101523358
"Shrimp","farmed","frozen","transport","intnl","water",1.17361756599525
"Shrimp","farmed","frozen","transport","intnl","ghg",0.804766330968174
"Shrimp","farmed","frozen","wholesale","cooling","energy",3.3558624
"Shrimp","farmed","frozen","wholesale","direct","water",2.2211
"Shrimp","farmed","frozen","wholesale","cooling","ghg",0.37598709456
"Shrimp","farmed","frozen","transport","domestic","energy",1.27
"Shrimp","farmed","frozen","transport","domestic","water",0.131193764388673
"Shrimp","farmed","frozen","transport","domestic","ghg",0.103886
"Shrimp","farmed","frozen","retail.foodservice","cooling","energy",5.73078101071975
"Shrimp","farmed","frozen","retail.foodservice","indirect.cool","water",0.00440951761102603
"Shrimp","farmed","frozen","retail.foodservice","cooling","ghg",0.642070336906585
"Shrimp","farmed","frozen","retail.foodservice","cooking","energy",2.74435733333333
"Shrimp","farmed","frozen","retail.foodservice","indirect.cook","water",0.0021116305037037
"Shrimp","farmed","frozen","retail.foodservice","cooking","ghg",0.153039186844444
"Shrimp","farmed","frozen","home","cooling","energy",1.3068
"Shrimp","farmed","frozen","home","indirect","water",0.00100551
"Shrimp","farmed","frozen","home","cooling","ghg",0.14641242
"Shrimp","farmed","frozen","home","cooking","energy",4.29521796
"Shrimp","farmed","frozen","home","direct","water",0
"Shrimp","farmed","frozen","home","cooking","ghg",0.39773503548702
"Shrimp","wild caught","fresh","production","feed","energy",0
"Shrimp","wild caught","fresh","production","feed","water",0
"Shrimp","wild caught","fresh","production","feed","ghg",0
"Shrimp","wild caught","fresh","production","direct","energy",69.9891383153326
"Shrimp","wild caught","fresh","production","direct","water",0
"Shrimp","wild caught","fresh","production","indirect","energy",1.73611111111111
